Datum;Inhaber;Betreff;Betrag
07.11.2023;Edeka;Rechnungsnr: 8640976;-101,81 EUR
08.11.2023;Schauspielhaus;Schauspielhaus Eintritt Giro Card Transaktion: 346331922;-42,6 EUR
09.11.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.11.2023;Netflix ltd.;Netflix;-17,99 EUR
11.11.2023;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9509353;-24,9 EUR
11.11.2023;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r November;-19,99 EUR
12.11.2023;Paypal;Buchungsnr: 8876230;-59,12 EUR
14.11.2023;NOVA;Gehalt f�r Monat: November inkl. Sonderzahlung;3740,0 EUR
16.11.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.11.2023;Amazon;Buchungsnr: 3988328;-111,97 EUR
16.11.2023;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.11.2023;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 2638;-13,4 EUR
18.11.2023;Walt Disney;Disney+;-17,99 EUR
19.11.2023;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 9377179;-5,37 EUR
19.11.2023;Oeffentlicher Personennahverkehr;Ihr Ticket: 462888028;-5,9 EUR
21.11.2023;Oeffentlicher Personennahverkehr;Ihr Ticket: 624328226;-5,9 EUR
23.11.2023;Netto;Rechnungsnr: 6736872;-96,78 EUR
23.11.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.11.2023;Oeffentlicher Personennahverkehr;Ihr Ticket: 825440746;-5,9 EUR
26.11.2023;Saturn;Buchungsnr: 7420012;-67,27 EUR
27.11.2023;BP;Giro Card Transaktion: 108585517;-79,65 EUR
01.12.2023;Mietskaserne am R�benacker;Miete f�r Monat: December;-750 EUR
01.12.2023;Norddeutscher Rundfunk;Rundfunkbeitrag f�r December;-18,36 EUR
02.12.2023;Reformhaus;Rechnungsnr: 1627848;-172,63 EUR
02.12.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.12.2023;VHV;Privathaftpflicht;-4,5 EUR
02.12.2023;Amazon;Buchungsnr: 3722023;-121,72 EUR
03.12.2023;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
05.12.2023;BP;Giro Card Transaktion: 703208271;-44,46 EUR
09.12.2023;Zahn�rzte an der Zuckerr�benfabrik;Zahn�rzte an der Zuckerr�benfabrik Rechnungsnr: 4241;-79,9 EUR
09.12.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.12.2023;Netflix ltd.;Netflix;-17,99 EUR
11.12.2023;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r December;-19,99 EUR
14.12.2023;NOVA;Gehalt f�r Monat: December;2000 EUR
15.12.2023;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 6989504;-24,9 EUR
16.12.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.12.2023;BK;Ihre Bestellung bei BK Rechnungsnummer: 2488430;-7,2 EUR
16.12.2023;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.12.2023;BP;Giro Card Transaktion: 411271189;-49,38 EUR
18.12.2023;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 8618699;-5,13 EUR
18.12.2023;BK;Ihre Bestellung bei BK Rechnungsnummer: 1141797;-10,72 EUR
18.12.2023;Walt Disney;Disney+;-17,99 EUR
19.12.2023;Penny;Rechnungsnr: 9876904;-69,59 EUR
21.12.2023;Paypal;Buchungsnr: 5878858;-217,28 EUR
23.12.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
24.12.2023;Reformhaus;Rechnungsnr: 1253199;-64,78 EUR
30.12.2023;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
30.12.2023;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 5384768;-6,39 EUR
